Order ID,Amount,Profit,Quantity,Category,Sub-Category,PaymentMode,Order Date,CustomerName,State,City
B-25957,147,73,3,Clothing,Stole,COD,2018-01-18,Mahima,Madhya Pradesh,Indore
B-26061,965,-68,3,Electronics,Printers,COD,2018-03-14,Anurag,Madhya Pradesh,Indore
B-25735,12,-2,3,Clothing,Hankerchief,COD,2018-07-30,Arindam,Uttar Pradesh,Lucknow
B-25616,14,-2,3,Clothing,Hankerchief,UPI,2018-04-15,Kanak,Goa,Goa
B-25666,934,-916,7,Electronics,Electronic Games,COD,2018-05-22,Tanvi,Punjab,Chandigarh
B-25675,929,-93,9,Clothing,Saree,COD,2018-05-31,Shreya,Madhya Pradesh,Bhopal
B-26079,18,3,2,Clothing,Hankerchief,Debit Card,2018-03-22,Hazel,Karnataka,Bangalore
B-25850,916,192,11,Electronics,Phones,COD,2018-11-05,Abhishek,Goa,Goa
B-25693,76,-72,9,Clothing,Hankerchief,COD,2018-06-18,Parna,Madhya Pradesh,Bhopal
B-25852,869,67,4,Furniture,Tables,COD,2018-11-07,Soumyabrata,Andhra Pradesh,Hyderabad
B-25860,112,24,3,Clothing,Kurti,COD,2018-11-15,Akshay,Tamil Nadu,Chennai
B-25853,39,16,6,Clothing,Skirt,UPI,2018-11-08,Gaurav,Gujarat,Ahmedabad
B-25898,857,-274,2,Furniture,Tables,COD,2018-12-07,Abhishek,Rajasthan,Udaipur
B-26100,828,230,2,Furniture,Chairs,COD,2018-03-31,Hitika,Madhya Pradesh,Indore
B-25653,1279,-640,8,Electronics,Printers,EMI,2018-05-08,Farah,Nagaland,Kohima
B-25839,1250,486,7,Clothing,Saree,EMI,2018-10-30,Pranjali,West Bengal,Kolkata
B-25651,823,-18,7,Furniture,Chairs,COD,2018-05-07,Anurag,Madhya Pradesh,Indore
B-25957,1157,-13,9,Furniture,Bookcases,Credit Card,2018-01-18,Mahima,Madhya Pradesh,Indore
B-25704,126,-63,3,Electronics,Accessories,UPI,2018-06-29,Riya,Maharashtra,Mumbai
B-25730,1145,-706,3,Electronics,Phones,Credit Card,2018-07-22,Rishabh,Rajasthan,Jaipur
B-26052,774,170,3,Electronics,Accessories,COD,2018-03-08,Ajay,Karnataka,Bangalore
B-25656,24,-1,2,Clothing,Hankerchief,COD,2018-05-11,Priyanka,Maharashtra,Pune
B-26033,774,170,3,Electronics,Accessories,COD,2018-02-22,Atharv,West Bengal,Kolkata
B-25850,93,-1,2,Clothing,Hankerchief,COD,2018-11-05,Abhishek,Goa,Goa
B-25945,765,-36,3,Electronics,Electronic Games,COD,2018-01-11,Mhatre,Madhya Pradesh,Indore
B-26086,762,101,6,Electronics,Printers,COD,2018-03-26,Mukesh,Haryana,Chandigarh
B-25752,761,266,9,Electronics,Electronic Games,COD,2018-08-14,Vaibhav,Madhya Pradesh,Indore
B-26098,96,-48,5,Clothing,Leggings,UPI,2018-03-29,Pinky,Jammu and Kashmir,Kashmir
B-26067,1137,-14,7,Electronics,Printers,EMI,2018-03-16,Tulika,Madhya Pradesh,Bhopal
B-25730,18,8,2,Clothing,Hankerchief,Debit Card,2018-07-22,Rishabh,Rajasthan,Jaipur
B-25986,749,-307,7,Furniture,Furnishings,COD,2018-01-31,Shweta,Rajasthan,Udaipur
B-26067,1120,199,6,Clothing,Saree,EMI,2018-03-16,Tulika,Madhya Pradesh,Bhopal
B-25953,744,119,6,Electronics,Printers,COD,2018-01-14,Krutika,Andhra Pradesh,Hyderabad
B-25952,14,0,4,Clothing,Hankerchief,UPI,2018-01-13,Priyanka,Madhya Pradesh,Indore
B-25903,19,8,2,Clothing,Hankerchief,Debit Card,2018-12-10,Amlan,Madhya Pradesh,Indore
B-25650,512,-225,5,Clothing,Saree,COD,2018-05-06,Chirag,Maharashtra,Mumbai
B-25970,742,198,2,Furniture,Bookcases,COD,2018-01-22,Rhea,Maharashtra,Mumbai
B-26062,44,-40,3,Clothing,Stole,COD,2018-03-15,Tushina,Goa,Goa
B-25643,1061,-36,8,Furniture,Bookcases,EMI,2018-04-29,Kirti,Jammu and Kashmir,Kashmir
B-25632,19,-2,2,Clothing,Leggings,Debit Card,2018-04-25,Manish,Himachal Pradesh,Simla
B-25821,17,0,1,Clothing,Hankerchief,COD,2018-10-16,Ajay,West Bengal,Kolkata
B-25878,741,267,5,Furniture,Bookcases,COD,2018-11-24,Mrinal,Maharashtra,Mumbai
B-25752,735,-235,6,Electronics,Printers,COD,2018-08-14,Vaibhav,Madhya Pradesh,Indore
B-25750,19,-1,1,Clothing,Shirt,Debit Card,2018-08-14,Priyanshu,Madhya Pradesh,Indore
B-25657,1021,-48,4,Electronics,Electronic Games,EMI,2018-05-13,Tulika,Madhya Pradesh,Bhopal
B-25787,556,-209,7,Clothing,Saree,COD,2018-09-20,Asish,Jammu and Kashmir,Kashmir
B-25808,63,-17,6,Clothing,Leggings,COD,2018-10-08,Apsingekar,Bihar,Patna
B-25885,734,248,2,Furniture,Chairs,COD,2018-11-28,Shatayu,Madhya Pradesh,Indore
B-25778,933,166,5,Clothing,Saree,Credit Card,2018-09-11,Surabhi,Maharashtra,Mumbai
B-25759,20,-9,6,Clothing,Hankerchief,Debit Card,2018-08-23,Soumya,Sikkim,Gangtok
B-25747,877,395,2,Furniture,Bookcases,Credit Card,2018-08-11,Harsh,Madhya Pradesh,Bhopal
B-25878,719,303,6,Furniture,Chairs,COD,2018-11-24,Mrinal,Maharashtra,Mumbai
B-25603,12,1,2,Clothing,Hankerchief,COD,2018-04-03,Jahan,Madhya Pradesh,Bhopal
B-25691,714,56,4,Clothing,Saree,COD,2018-06-16,Akancha,Maharashtra,Mumbai
B-25607,50,-15,4,Clothing,Leggings,COD,2018-04-06,Sonakshi,Jammu and Kashmir,Kashmir
B-25708,709,-100,5,Electronics,Phones,COD,2018-07-01,Kishwar,Madhya Pradesh,Indore
B-26021,21,-12,3,Clothing,Hankerchief,Debit Card,2018-02-17,Anita,Kerala ,Thiruvananthapuram
B-25831,693,254,6,Clothing,Saree,COD,2018-10-27,Mahima,Sikkim,Gangtok
B-25850,24,1,4,Clothing,Hankerchief,COD,2018-11-05,Abhishek,Goa,Goa
B-25670,24,1,2,Clothing,Hankerchief,UPI,2018-05-25,Charika,Goa,Goa
B-25852,24,1,2,Clothing,Hankerchief,COD,2018-11-07,Soumyabrata,Andhra Pradesh,Hyderabad
B-26029,21,10,1,Clothing,T-shirt,Debit Card,2018-02-20,Ramesh,Gujarat,Ahmedabad
B-25959,681,259,4,Furniture,Chairs,COD,2018-01-18,Muskan,Madhya Pradesh,Indore
B-25676,674,-187,2,Furniture,Tables,COD,2018-06-01,Chandni,Rajasthan,Jaipur
B-26097,671,-309,5,Electronics,Electronic Games,COD,2018-03-28,Vini,Karnataka,Bangalore
B-25888,646,-213,3,Electronics,Electronic Games,COD,2018-12-02,Rohan,Punjab,Amritsar
B-25911,40,15,1,Clothing,Kurti,COD,2018-12-15,Phalguni,Madhya Pradesh,Bhopal
B-25662,24,-2,2,Clothing,T-shirt,COD,2018-05-17,Sweta,Maharashtra,Mumbai
B-25950,644,167,2,Electronics,Printers,COD,2018-01-13,Shruti,Madhya Pradesh,Indore
B-25847,643,225,2,Electronics,Printers,COD,2018-11-03,Aniket,Haryana,Chandigarh
B-25796,632,-316,6,Clothing,Saree,COD,2018-09-24,Sukrith,Maharashtra,Mumbai
B-25693,632,316,6,Clothing,Saree,COD,2018-06-18,Parna,Madhya Pradesh,Bhopal
B-25993,610,208,3,Electronics,Printers,COD,2018-02-03,Madhav,Delhi,Delhi
B-26052,78,-28,6,Clothing,Kurti,UPI,2018-03-08,Ajay,Karnataka,Bangalore
B-25930,595,119,4,Furniture,Bookcases,COD,2018-01-03,Monica,Punjab,Chandigarh
B-25785,595,292,3,Clothing,Saree,COD,2018-09-15,Ayush,West Bengal,Kolkata
B-26093,852,51,5,Furniture,Bookcases,Credit Card,2018-03-27,Sarita,Maharashtra,Pune
B-26053,594,89,3,Furniture,Bookcases,COD,2018-03-09,Kirti,Jammu and Kashmir,Kashmir
B-26019,585,175,13,Clothing,T-shirt,COD,2018-02-15,Jitesh,Uttar Pradesh,Lucknow
B-26070,582,262,5,Furniture,Furnishings,COD,2018-03-18,Shruti,Karnataka,Bangalore
B-25870,845,84,7,Clothing,Saree,Credit Card,2018-11-20,Pranav,Andhra Pradesh,Hyderabad
B-25855,829,19,4,Electronics,Printers,Credit Card,2018-11-08,Abhijeet,Madhya Pradesh,Bhopal
B-25602,561,212,3,Clothing,Saree,COD,2018-04-01,Vrinda,Maharashtra,Pune
B-25728,771,-424,2,Electronics,Phones,Credit Card,2018-07-22,Ameesha,Maharashtra,Pune
B-25803,765,8,6,Clothing,Saree,EMI,2018-10-05,Shivanshu,Madhya Pradesh,Indore
B-25996,31,2,2,Clothing,Hankerchief,COD,2018-02-04,Prashant,Delhi,Delhi
B-26078,557,-111,2,Electronics,Electronic Games,COD,2018-03-22,Kasheen,West Bengal,Kolkata
B-25803,757,371,2,Electronics,Printers,Credit Card,2018-10-05,Shivanshu,Madhya Pradesh,Indore
B-25682,545,-73,11,Electronics,Phones,COD,2018-06-07,Krutika,Bihar,Patna
B-25749,1052,-82,3,Furniture,Bookcases,UPI,2018-08-13,Ayush,Maharashtra,Mumbai
B-25962,544,-152,3,Furniture,Bookcases,COD,2018-01-19,Tejeswini,Maharashtra,Pune
B-25899,22,9,2,Clothing,Leggings,Debit Card,2018-12-08,Aishwarya,Uttar Pradesh,Prayagraj
B-25845,757,371,2,Electronics,Printers,Credit Card,2018-11-03,Snel,Kerala ,Thiruvananthapuram
B-25951,742,198,2,Furniture,Bookcases,Credit Card,2018-01-13,Jesal,West Bengal,Kolkata
B-25828,537,107,3,Clothing,Saree,COD,2018-10-24,Nikita,Punjab,Chandigarh
B-25803,536,91,1,Clothing,Trousers,COD,2018-10-05,Shivanshu,Madhya Pradesh,Indore
B-25656,6,3,1,Clothing,Hankerchief,COD,2018-05-11,Priyanka,Maharashtra,Pune
B-25681,523,204,7,Clothing,Trousers,COD,2018-06-04,Bhawna,Madhya Pradesh,Indore
B-25658,27,9,2,Clothing,T-shirt,UPI,2018-05-14,Shefali,Rajasthan,Jaipur
B-25698,516,392,8,Furniture,Chairs,COD,2018-06-23,Amisha,Tamil Nadu,Chennai
B-25832,504,116,3,Furniture,Bookcases,COD,2018-10-28,Harshita,Maharashtra,Mumbai
B-25886,502,84,4,Electronics,Phones,COD,2018-11-28,Brijesh,Rajasthan,Udaipur
B-25897,734,213,6,Electronics,Electronic Games,Credit Card,2018-12-06,Rohan,Madhya Pradesh,Indore
B-25873,42,12,2,Clothing,Kurti,COD,2018-11-23,Divyeta,Madhya Pradesh,Indore
B-25858,29,11,4,Clothing,Skirt,COD,2018-11-13,Uudhav,Maharashtra,Mumbai
B-25867,240,12,6,Clothing,Kurti,UPI,2018-11-17,Ankit,Sikkim,Gangtok
B-25633,496,-79,2,Clothing,Trousers,COD,2018-04-26,Amit,Sikkim,Gangtok
B-25609,485,29,4,Electronics,Electronic Games,COD,2018-04-09,Jitesh,Uttar Pradesh,Lucknow
B-25896,31,-11,3,Clothing,Skirt,UPI,2018-12-05,Aman,Maharashtra,Mumbai
B-26000,676,151,3,Electronics,Printers,Credit Card,2018-02-06,Shubham,Delhi,Delhi
B-25959,23,8,2,Clothing,Hankerchief,Debit Card,2018-01-18,Muskan,Madhya Pradesh,Indore
B-25940,13,3,2,Clothing,Hankerchief,COD,2018-01-06,Vivek,Goa,Goa
B-26087,180,0,8,Clothing,Stole,COD,2018-03-26,Vandana,Himachal Pradesh,Simla
B-26055,671,114,9,Electronics,Phones,Credit Card,2018-03-10,Harivansh,Uttar Pradesh,Mathura
B-25980,22,11,3,Clothing,Kurti,COD,2018-01-27,Shweta,Rajasthan,Udaipur
B-25653,668,-31,3,Electronics,Printers,Credit Card,2018-05-08,Farah,Nagaland,Kohima
B-26052,145,0,3,Clothing,Saree,UPI,2018-03-08,Ajay,Karnataka,Bangalore
B-25877,24,8,2,Clothing,Skirt,Debit Card,2018-11-24,Dashyam,Gujarat,Surat
B-25608,476,0,3,Furniture,Chairs,COD,2018-04-08,Aarushi,Tamil Nadu,Chennai
B-25897,24,11,5,Clothing,Hankerchief,Debit Card,2018-12-06,Rohan,Madhya Pradesh,Indore
B-25881,37,3,3,Clothing,Hankerchief,COD,2018-11-25,Lalita,Uttar Pradesh,Mathura
B-25905,152,50,6,Clothing,Stole,UPI,2018-12-11,Bhargav,Delhi,Delhi
B-25818,32,11,2,Clothing,Leggings,UPI,2018-10-14,Sandeep,Madhya Pradesh,Indore
B-25835,52,11,5,Clothing,Leggings,COD,2018-10-29,Moumita,Gujarat,Ahmedabad
B-26081,24,11,3,Clothing,Hankerchief,Debit Card,2018-03-22,Aarushi,Tamil Nadu,Chennai
B-25730,473,42,4,Furniture,Chairs,COD,2018-07-22,Rishabh,Rajasthan,Jaipur
B-25837,263,50,5,Clothing,Stole,COD,2018-10-29,Palak,Maharashtra,Mumbai
B-25893,61,11,3,Clothing,Kurti,COD,2018-12-04,Vrinda,Uttar Pradesh,Mathura
B-25689,469,-459,3,Electronics,Electronic Games,COD,2018-06-14,Bhaggyasree,Maharashtra,Mumbai
B-26028,1272,547,2,Electronics,Phones,COD,2018-02-20,Manju,Andhra Pradesh,Hyderabad
B-26081,169,0,3,Electronics,Accessories,COD,2018-03-22,Aarushi,Tamil Nadu,Chennai
B-25903,25,11,3,Clothing,Leggings,Debit Card,2018-12-10,Amlan,Madhya Pradesh,Indore
B-25651,457,-41,4,Clothing,Saree,COD,2018-05-07,Anurag,Madhya Pradesh,Indore
B-25903,455,77,8,Electronics,Accessories,COD,2018-12-10,Amlan,Madhya Pradesh,Indore
B-26086,25,2,2,Clothing,Hankerchief,Debit Card,2018-03-26,Mukesh,Haryana,Chandigarh
B-25654,450,-90,3,Electronics,Printers,COD,2018-05-10,Sabah,Maharashtra,Mumbai
B-25720,30,-35,1,Furniture,Chairs,COD,2018-07-15,Namrata,Punjab,Chandigarh
B-26057,659,-37,2,Furniture,Bookcases,Credit Card,2018-03-10,Sharda,Kerala ,Thiruvananthapuram
B-25798,448,148,2,Electronics,Printers,COD,2018-10-01,Shishu,Andhra Pradesh,Hyderabad
B-25961,446,53,3,Electronics,Printers,COD,2018-01-18,Surbhi,Gujarat,Ahmedabad
B-25701,98,-45,2,Furniture,Chairs,UPI,2018-06-26,Maithilee,Madhya Pradesh,Indore
B-26055,443,11,1,Clothing,Saree,COD,2018-03-10,Harivansh,Uttar Pradesh,Mathura
B-25653,427,-50,7,Electronics,Phones,COD,2018-05-08,Farah,Nagaland,Kohima
B-25670,656,-36,2,Furniture,Bookcases,Credit Card,2018-05-25,Charika,Goa,Goa
B-26056,424,161,2,Clothing,Saree,COD,2018-03-10,Sonal,Bihar,Patna
B-26061,27,8,2,Clothing,T-shirt,Debit Card,2018-03-14,Anurag,Madhya Pradesh,Indore
B-25602,424,-272,5,Electronics,Phones,COD,2018-04-01,Vrinda,Maharashtra,Pune
B-26016,202,4,4,Clothing,Hankerchief,COD,2018-02-14,Hazel,Karnataka,Bangalore
B-25873,1275,357,2,Electronics,Phones,UPI,2018-11-23,Divyeta,Madhya Pradesh,Indore
B-25761,418,70,7,Electronics,Phones,COD,2018-08-25,Madhav,Uttar Pradesh,Mathura
B-25819,417,49,3,Electronics,Electronic Games,COD,2018-10-15,Ankur,Madhya Pradesh,Bhopal
B-25853,199,48,4,Clothing,Stole,UPI,2018-11-08,Gaurav,Gujarat,Ahmedabad
B-25662,385,-77,11,Furniture,Furnishings,UPI,2018-05-17,Sweta,Maharashtra,Mumbai
B-25993,414,199,3,Electronics,Phones,COD,2018-02-03,Madhav,Delhi,Delhi
B-25703,97,-45,4,Clothing,Saree,COD,2018-06-28,Ekta,Madhya Pradesh,Indore
B-25848,648,50,6,Electronics,Electronic Games,Credit Card,2018-11-03,Rohan,Himachal Pradesh,Simla
B-25678,27,-25,2,Clothing,Shirt,Debit Card,2018-06-03,Bathina,Karnataka,Bangalore
B-25925,27,12,1,Clothing,Stole,Debit Card,2018-12-29,Shruti,Maharashtra,Mumbai
B-25977,27,1,1,Clothing,Stole,UPI,2018-01-27,Aayushi,Gujarat,Surat
B-25797,413,-314,9,Furniture,Chairs,COD,2018-09-30,Sauptik,Madhya Pradesh,Indore
B-26067,53,2,4,Clothing,Hankerchief,COD,2018-03-16,Tulika,Madhya Pradesh,Bhopal
B-25810,29,8,5,Clothing,Hankerchief,UPI,2018-10-10,Nripraj,Punjab,Chandigarh
B-25648,30,13,1,Clothing,T-shirt,UPI,2018-05-04,Aditya,Punjab,Chandigarh
B-25933,412,412,6,Clothing,Saree,COD,2018-01-04,Shikhar,Maharashtra,Mumbai
B-25942,646,-23,2,Electronics,Printers,Credit Card,2018-01-08,Ankur,Andhra Pradesh,Hyderabad
B-25656,30,-5,5,Clothing,Stole,UPI,2018-05-11,Priyanka,Maharashtra,Pune
B-26067,618,27,4,Furniture,Bookcases,Credit Card,2018-03-16,Tulika,Madhya Pradesh,Bhopal
B-25673,143,-124,5,Clothing,Saree,UPI,2018-05-28,Arsheen,Gujarat,Ahmedabad
B-25797,31,1,2,Clothing,Hankerchief,UPI,2018-09-30,Sauptik,Madhya Pradesh,Indore
B-26098,409,86,3,Clothing,Saree,COD,2018-03-29,Pinky,Jammu and Kashmir,Kashmir
B-25656,406,126,2,Clothing,Saree,COD,2018-05-11,Priyanka,Maharashtra,Pune
B-25791,565,66,7,Clothing,Saree,Credit Card,2018-09-24,Avish,Kerala ,Thiruvananthapuram
B-26053,85,2,6,Clothing,Stole,COD,2018-03-09,Kirti,Jammu and Kashmir,Kashmir
B-25983,561,118,5,Furniture,Bookcases,Credit Card,2018-01-30,Atul,Delhi,Delhi
B-25743,503,-56,2,Clothing,Trousers,COD,2018-08-07,Aman,Nagaland,Kohima
B-25867,31,14,3,Clothing,Stole,UPI,2018-11-17,Ankit,Sikkim,Gangtok
B-25973,398,111,8,Clothing,Hankerchief,COD,2018-01-24,Madan Mohan,Uttar Pradesh,Mathura
B-25895,388,93,2,Furniture,Bookcases,COD,2018-12-04,Sathya,Gujarat,Surat
B-26003,498,-116,4,Clothing,Saree,UPI,2018-02-08,Hitesh,Madhya Pradesh,Bhopal
B-25717,561,212,3,Clothing,Saree,Credit Card,2018-07-12,Manshul,Uttar Pradesh,Lucknow
B-26064,61,3,4,Clothing,Hankerchief,COD,2018-03-16,Ankita,Maharashtra,Mumbai
B-25630,34,-22,4,Clothing,T-shirt,COD,2018-04-24,Sahil,Punjab,Chandigarh
B-26050,32,6,3,Clothing,Shirt,UPI,2018-03-06,Paridhi,Rajasthan,Jaipur
B-25786,623,-192,3,Furniture,Tables,UPI,2018-09-19,Madan Mohan,Uttar Pradesh,Mathura
B-26035,520,151,3,Electronics,Phones,Credit Card,2018-02-23,Pinky,Jammu and Kashmir,Kashmir
B-25693,32,-16,6,Clothing,Saree,UPI,2018-06-18,Parna,Madhya Pradesh,Bhopal
B-25703,32,-5,5,Clothing,Hankerchief,UPI,2018-06-28,Ekta,Madhya Pradesh,Indore
B-25966,510,234,6,Electronics,Electronic Games,EMI,2018-01-21,Soumya,Rajasthan,Udaipur
B-26060,382,68,3,Clothing,Saree,COD,2018-03-13,Chirag,Maharashtra,Mumbai
B-25898,33,13,3,Clothing,Leggings,UPI,2018-12-07,Abhishek,Rajasthan,Udaipur
B-25686,381,-13,2,Clothing,Saree,COD,2018-06-11,Pooja,Himachal Pradesh,Simla
B-26051,490,88,2,Electronics,Accessories,EMI,2018-03-07,Parishi,West Bengal,Kolkata
B-25854,381,144,2,Clothing,Saree,COD,2018-11-08,Shubham,Maharashtra,Pune
